codigo,distrito,provincia,canton,condicion,total,subtotal,prevalencia,desempleo,poblacion_urbana,privacion_critica,poblacion_menor_14,hogares_monomarentales,ocupantes_por_hogar,anos_escolaridad
1011,EL CARMEN,SAN JOSE,SAN JOSE,obesidad,318.0,45.0,0.14,2.7,100.0,6.16,10.03,39.06,2.44,11.9805054
1011,EL CARMEN,SAN JOSE,SAN JOSE,sobrepeso,318.0,69.00,0.22,2.7,100.0,6.16,10.03,39.06,2.44,11.9805054
1011,EL CARMEN,SAN JOSE,SAN JOSE,combinada,318.0,114.00,0.36,2.7,100.0,6.16,10.03,39.06,2.44,11.9805054
1012,MERCED,SAN JOSE,SAN JOSE,obesidad,1039.0,155.0,0.15,3.79,100.0,24.77,21.23,30.56,3.22,9.4448109
1012,MERCED,SAN JOSE,SAN JOSE,combinada,1039.0,383.00,0.37,3.79,100.0,24.77,21.23,30.56,3.22,9.4448109
1012,MERCED,SAN JOSE,SAN JOSE,sobrepeso,1039.0,228.00,0.22,3.79,100.0,24.77,21.23,30.56,3.22,9.4448109
1013,HOSPITAL,SAN JOSE,SAN JOSE,obesidad,1891.0,338.0,0.18,4.43,100.0,24.79,21.66,30.31,3.46,8.8488623
1013,HOSPITAL,SAN JOSE,SAN JOSE,sobrepeso,1891.0,400.00,0.21,4.43,100.0,24.79,21.66,30.31,3.46,8.8488623
1013,HOSPITAL,SAN JOSE,SAN JOSE,combinada,1891.0,738.00,0.39,4.43,100.0,24.79,21.66,30.31,3.46,8.8488623
1014,CATEDRAL,SAN JOSE,SAN JOSE,combinada,977.0,392.00,0.4,3.36,100.0,15.03,16.96,35.0,2.85,10.4774822
1014,CATEDRAL,SAN JOSE,SAN JOSE,obesidad,977.0,168.0,0.17,3.36,100.0,15.03,16.96,35.0,2.85,10.4774822
1014,CATEDRAL,SAN JOSE,SAN JOSE,sobrepeso,977.0,224.00,0.23,3.36,100.0,15.03,16.96,35.0,2.85,10.4774822
1015,ZAPOTE,SAN JOSE,SAN JOSE,combinada,1013.0,390.00,0.38,2.92,100.0,10.33,16.78,34.65,3.11,11.1955208
1015,ZAPOTE,SAN JOSE,SAN JOSE,obesidad,1013.0,171.0,0.17,2.92,100.0,10.33,16.78,34.65,3.11,11.1955208
1015,ZAPOTE,SAN JOSE,SAN JOSE,sobrepeso,1013.0,219.00,0.22,2.92,100.0,10.33,16.78,34.65,3.11,11.1955208
1016,SAN FRANCISCO DE DOS RIOS,SAN JOSE,SAN JOSE,obesidad,1132.0,199.0,0.18,2.34,100.0,9.0,16.4,30.57,3.17,11.8381503
1016,SAN FRANCISCO DE DOS RIOS,SAN JOSE,SAN JOSE,combinada,1132.0,476.00,0.42,2.34,100.0,9.0,16.4,30.57,3.17,11.8381503
1016,SAN FRANCISCO DE DOS RIOS,SAN JOSE,SAN JOSE,sobrepeso,1132.0,277.00,0.24,2.34,100.0,9.0,16.4,30.57,3.17,11.8381503
1017,URUCA,SAN JOSE,SAN JOSE,combinada,3179.0,"1,005.00",0.32,4.03,100.0,38.83,28.4,24.13,3.65,8.5745212
1017,URUCA,SAN JOSE,SAN JOSE,obesidad,3179.0,361.0,0.11,4.03,100.0,38.83,28.4,24.13,3.65,8.5745212
1017,URUCA,SAN JOSE,SAN JOSE,sobrepeso,3179.0,644.00,0.2,4.03,100.0,38.83,28.4,24.13,3.65,8.5745212
1018,MATA REDONDA,SAN JOSE,SAN JOSE,combinada,316.0,122.00,0.39,3.43,100.0,9.31,14.87,32.85,2.8,12.21103
1018,MATA REDONDA,SAN JOSE,SAN JOSE,sobrepeso,316.0,67.00,0.21,3.43,100.0,9.31,14.87,32.85,2.8,12.21103
1018,MATA REDONDA,SAN JOSE,SAN JOSE,obesidad,316.0,55.0,0.17,3.43,100.0,9.31,14.87,32.85,2.8,12.21103
1019,PAVAS,SAN JOSE,SAN JOSE,combinada,3206.0,"1,127.00",0.35,4.23,100.0,22.64,23.64,27.69,3.65,9.1884926
1019,PAVAS,SAN JOSE,SAN JOSE,sobrepeso,3206.0,654.00,0.2,4.23,100.0,22.64,23.64,27.69,3.65,9.1884926
1019,PAVAS,SAN JOSE,SAN JOSE,obesidad,3206.0,473.0,0.15,4.23,100.0,22.64,23.64,27.69,3.65,9.1884926
1021,ESCAZU,SAN JOSE,ESCAZU,sobrepeso,1932.0,400.00,0.21,3.43,100.0,18.26,20.06,29.08,3.34,10.2136997
1021,ESCAZU,SAN JOSE,ESCAZU,obesidad,1932.0,261.0,0.14,3.43,100.0,18.26,20.06,29.08,3.34,10.2136997
1021,ESCAZU,SAN JOSE,ESCAZU,combinada,1932.0,661.00,0.34,3.43,100.0,18.26,20.06,29.08,3.34,10.2136997
1022,SAN ANTONIO,SAN JOSE,ESCAZU,combinada,1356.0,512.00,0.38,3.01,98.18,21.22,22.21,23.08,3.55,9.0623152
1022,SAN ANTONIO,SAN JOSE,ESCAZU,sobrepeso,1356.0,311.00,0.23,3.01,98.18,21.22,22.21,23.08,3.55,9.0623152
1022,SAN ANTONIO,SAN JOSE,ESCAZU,obesidad,1356.0,201.0,0.15,3.01,98.18,21.22,22.21,23.08,3.55,9.0623152
