"","CODE","PROVINCE","CANTON","DISTRICT","Condition","N","n","Prevalence","Unemployment","Urban Population","Critical Deprivation","Population under 14","Single mother homes","Occupants per home","Schooling years"
"1","7043","LIMON","TALAMANCA","CAHUITA","Combined","783","275.00","0.35","4.74","28.69","48.33","31.44","20.17","3.22","8.2924528"
"2","7042","LIMON","TALAMANCA","SIXAOLA","Combined","1142","398.00","0.35","2.57","38.68","56.99","37.28","13.93","3.98","6.4457143"
"3","7044","LIMON","TALAMANCA","TELIRE","Combined","432","115.00","0.27","1.96","7.76","73.80","37.52","15.32","4.32","5.5616"
"4","7012","LIMON","LIMON","VALLE DE LA ESTRELLA","Combined","2225","506.00","0.23","3.76","10.12","70.22","36.69","14.74","3.91","5.6467991"
"5","7041","LIMON","TALAMANCA","BRATSI","Combined","1066","376.00","0.35","1.85","12.09","47.70","35.01","21.80","3.65","6.8007598"
"6","7052","LIMON","MATINA","BATAN","Combined","1654","486.00","0.29","4.89","54.23","43.29","31.41","18.75","3.48","7.3119842"
"7","7011","LIMON","LIMON","LIMON","Combined","6102","2,088.00","0.34","5.30","98.32","24.75","28.34","28.19","3.34","9.4084251"
"8","6073","PUNTARENAS","GOLFITO","GUAYCARA","Combined","1098","371.00","0.34","2.95","54.96","39.10","27.97","20.50","3.35","7.8631852"
"9","7051","LIMON","MATINA","MATINA","Combined","816","228.00","0.28","5.34","47.63","48.93","32.40","17.30","3.61","6.5321345"
"10","30512","CARTAGO","TURRIALBA","CHIRRIPO","Combined","668","121.00","0.18","4.09","0.00","90.07","45.09","15.56","5.13","3.7805944"
"11","7013","LIMON","LIMON","RIO BLANCO","Combined","878","227.00","0.26","5.88","51.57","37.89","32.39","20.87","3.66","7.4296407"
"12","7014","LIMON","LIMON","MATAMA","Combined","837","249.00","0.30","4.59","14.59","42.17","32.15","17.89","3.44","7.2531172"
"13","7053","LIMON","MATINA","CARRANDI","Combined","1153","330.00","0.29","3.02","48.76","46.49","31.76","14.10","3.45","6.5619551"
"14","7032","LIMON","SIQUIRRES","PACUARITO","Combined","618","190.00","0.31","3.37","41.18","57.42","30.60","11.08","3.56","6.5283422"
"15","7026","LIMON","POCOCI","COLORADO","Combined","313","88.00","0.28","2.07","22.74","46.94","31.17","13.50","3.17","6.5289796"
"16","7031","LIMON","SIQUIRRES","SIQUIRRES","Combined","3116","985.00","0.32","3.76","66.07","32.16","29.10","21.10","3.39","7.5318547"
"17","6038","PUNTARENAS","BUENOS AIRES","BIOLLEY","Combined","250","59.00","0.24","1.20","0.00","56.12","31.12","14.29","3.58","6.2362301"
