Canton,ob_mean,ob_q2.5,ob_q50,ob_q97.5,sb_mean,sb_q2.5,sb_q50,sb_q97.5
ABANGARES,0.14002488474420294,0.13745746426696198,0.1400118769346653,0.1427182980899674,0.1818719698020067,0.1785607242781777,0.18185772212142895,0.18532448444654723
ACOSTA,0.13512868283397098,0.1327869890365501,0.1351248450121073,0.13753871058175982,0.1958557526832439,0.19253481606551337,0.1958720924375453,0.19913263812270135
ALAJUELA,0.1499328952240193,0.14848011538693803,0.1499281934316931,0.15137387258312074,0.2043289035789609,0.20272879352338258,0.2043295909288005,0.20584215512461163
ALAJUELITA,0.1390222325100118,0.13771453233935638,0.13901390676510042,0.14034606054174617,0.19930534490972343,0.1969895728738322,0.19930411909380674,0.20164052559217754
ALVARADO,0.13778847952343415,0.13467363448756406,0.13778450603877496,0.14101249429378143,0.20719265556147548,0.20421168222390246,0.20718985317355965,0.2101924752037486
ASERRI,0.1425205567740221,0.1411994615175658,0.14251832237654238,0.1438483281287522,0.2000348444657891,0.19861658526574427,0.20003806941956026,0.20137257827851
ATENAS,0.14990670953703575,0.14764457919076882,0.1499010424633147,0.15213818777622615,0.209072013867014,0.20644972421957253,0.20907946661756444,0.21172911402290287
BAGACES,0.13084988170960463,0.12948294280261202,0.13084349929884675,0.13223002408167067,0.18809616641631394,0.18634894921659415,0.18809432522841024,0.1898016593774817
BARVA,0.15035543243539204,0.14798272745495167,0.150367121461012,0.1527266433972298,0.2132556651665678,0.21082660627763983,0.21325626762518193,0.215671461710325
BELEN,0.15857487359251105,0.15622254928757484,0.15857787063144463,0.16086546796696388,0.21879137820819142,0.2160541393600399,0.21879497184003552,0.22153011800731648
BUENOS AIRES,0.11142172146004305,0.10907296165720272,0.11140639673729885,0.11383398429406719,0.1807120521406188,0.1778685283866537,0.18070027108658587,0.1835647647216832
CARRILLO,0.13954775803753303,0.1369447785650608,0.1395551848935544,0.14224835574848482,0.18453370604452773,0.18168005641809534,0.18452892267540189,0.18749617223241194
CARTAGO,0.1510565577036387,0.14960788763077593,0.15106290900699615,0.15249024974809286,0.20671905546966907,0.20506616028231547,0.2067237296514259,0.2083279995069269
CAÑAS,0.1356252682438446,0.1342119292391274,0.13563263853927165,0.1370076923594168,0.19832411138494174,0.19640379716926493,0.1983240247579467,0.20026630631469122
CORREDORES,0.12163622046061234,0.11931285898576764,0.12163601154122419,0.12399800259963853,0.19493629714305175,0.19229345459079733,0.19493840018781716,0.19756819931881178
COTO BRUS,0.1203770692472261,0.11804274806931962,0.12038189539214353,0.12263351356060549,0.1885705328456807,0.18552946693448827,0.18857585188900544,0.19154790166451435
CURRIDABAT,0.1515270457288327,0.14918114972078478,0.15153039662358325,0.15391242779914616,0.21137804981284064,0.2090465361898616,0.21138928864558063,0.21365262814480168
DESAMPARADOS,0.15327288518051654,0.15163927057301826,0.15326920886696616,0.15491704143349336,0.20427295436279508,0.20251131099868236,0.2042738404229832,0.20596594663706874
DOTA,0.125253587091506,0.12274611087765437,0.12524797971346083,0.12781432193877104,0.19638464704547715,0.19321246060848776,0.19638517427474866,0.19958936270969604
EL GUARCO,0.1463436287129967,0.1448061333315875,0.146349115431287,0.14790711837348006,0.2028535258129624,0.20108930658815907,0.2028622178209229,0.20462082159415348
ESCAZU,0.1538741909628784,0.1517459175751983,0.1538730437372102,0.15605531814739307,0.211756430846002,0.20949805803389115,0.21175675970383792,0.21395437974915807
ESPARZA,0.14310128441355932,0.14178884323081153,0.14310467401375335,0.14439361660756625,0.19959345391807373,0.19809177389902322,0.19960019103443763,0.20103766503668097
FLORES,0.15471387673733145,0.15191786692817144,0.1547225243306971,0.15748952406980143,0.21563565601019394,0.21316885750822143,0.21564195923368165,0.21807699853376447
GARABITO,0.13064105332173892,0.12907733296191565,0.13064302016959173,0.13215668747742532,0.19242745421931648,0.19045992059897116,0.19241633656526747,0.19439976759514643
GOICOECHEA,0.15534541591419115,0.15361508557094114,0.1553543751152579,0.1570965904272556,0.20649130102960012,0.20448268285916688,0.2064864262304486,0.2084629260915753
GOLFITO,0.1234489893374556,0.1216136128572681,0.12345337622083627,0.1253537273609978,0.18652847789687296,0.1844042199144394,0.18651508887282103,0.18862061084234505
GRECIA,0.1465361002278801,0.14479240769535173,0.14654857690139172,0.1482892238790296,0.202294686487873,0.200414248427417,0.20231279854721188,0.20414759131438037
GUACIMO,0.13137012666550762,0.12948338666324785,0.13137397167031167,0.13329215473123096,0.18534090399866288,0.1832329793013709,0.18533131178941734,0.18743448483800632
GUATUSO,0.12291946571083642,0.12082813130465071,0.12291868245141273,0.12507340206854856,0.1872132003561372,0.18444920914394464,0.18720601433782486,0.1899958866512747
HEREDIA,0.15712932557402,0.15495324983036227,0.15712620305289238,0.15935022700983006,0.2126161389746973,0.21051265353832996,0.2126195367588336,0.21465267711867636
HOJANCHA,0.13769319394679752,0.13519935825547288,0.13769575701991177,0.14017131338068725,0.19812099049063098,0.19493132499599158,0.1981311659857785,0.20127087632669308
JIMENEZ,0.1446850176345914,0.14197179480621264,0.14466056206358188,0.1474784976463653,0.19988996447749663,0.19800652400733187,0.1998935158818141,0.20172260828250882
LA CRUZ,0.11639252694492427,0.11439453245485376,0.11638545268249614,0.1184166170944829,0.1810788579245082,0.1787374079189458,0.1810714713138133,0.18344001170281096
LA UNION,0.1486821044213234,0.14711063343648856,0.14867740269672294,0.15026910705803734,0.2054017760332607,0.20341950041822995,0.20541772483210302,0.20730909232068806
LEON CORTES,0.12653794238549504,0.12397467187329157,0.12651865688969482,0.1291430379921038,0.195460753464351,0.1922297487920688,0.1954650851031965,0.1987029367776326
LIBERIA,0.13954390316189247,0.13694435408502714,0.139563289198771,0.14214224787426077,0.190383291586047,0.18791450554240235,0.19037310438393687,0.19286948434719217
LIMON,0.12691555097398527,0.1240918271020163,0.12693516800211002,0.1297468241658414,0.18205127078133523,0.17939905806776243,0.1820587304646775,0.18471959628009021
LOS CHILES,0.11244600958414637,0.11005644606642101,0.11244047777050545,0.11490308376360084,0.17538784469785057,0.17253961554316138,0.1753786421556457,0.17823995894105274
MATINA,0.1176687177164181,0.11545450867957989,0.11766179641473501,0.11994288286424383,0.1792763794376405,0.1766143917597915,0.1792909152165045,0.18190050995589435
MONTES DE OCA,0.16897314761669716,0.16519259089341728,0.16895818402104423,0.17287494147055651,0.22064612533376687,0.21709666208622938,0.22064864710793836,0.2241775015039388
