"provincia","canton"
"San José","San José"
"San José","Escazú"
"San José","Desamparados"
"San José","Aserrí"
"San José","Mora"
"San José","Goicoechea"
"San José","Santa Ana"
"San José","Alajuelita"
"San José","Vázquez de Coronado"
"San José","Tibás"
"San José","Moravia"
"San José","Montes de Oca"
"San José","Curridabat"
"Alajuela","Alajuela"
"Alajuela","Atenas"
"Alajuela","Poás"
"Cartago","Cartago"
"Cartago","Paraíso"
"Cartago","La Unión"
"Cartago","Oreamuno"
"Cartago","Alvarado"
"Cartago","El Guarco"
"Heredia","Heredia"
"Heredia","Barva"
"Heredia","Santo Domingo"
"Heredia","Santa Bárbara"
"Heredia","San Rafael"
"Heredia","San Isidro"
"Heredia","Belén"
"Heredia","Flores"
"Heredia","San Pablo"
